Number;Salary;Gender;Age;Experience;Level
1,00;32368,00;1,00;42,00;3,00;2,00
2,00;53174,00;0,00;54,00;10,00;2,00
3,00;52722,00;0,00;47,00;10,00;1,00
4,00;53423,00;0,00;47,00;1,00;2,00
5,00;50602,00;0,00;44,00;5,00;2,00
6,00;49033,00;0,00;42,00;10,00;1,00
7,00;24395,00;0,00;30,00;5,00;1,00
8,00;24395,00;1,00;52,00;6,00;1,00
9,00;43124,00;0,00;48,00;8,00;1,00
10,00;23975,00;1,00;58,00;4,00;1,00
11,00;53174,00;0,00;46,00;4,00;3,00
12,00;58515,00;0,00;36,00;8,00;3,00
13,00;56294,00;0,00;49,00;10,00;2,00
14,00;49033,00;1,00;55,00;10,00;2,00
15,00;44884,00;0,00;41,00;1,00;1,00
16,00;53429,00;1,00;52,00;5,00;2,00
17,00;46574,00;0,00;57,00;8,00;1,00
18,00;58968,00;1,00;61,00;10,00;2,00
19,00;53174,00;0,00;50,00;5,00;1,00
20,00;53627,00;0,00;47,00;10,00;2,00
21,00;49033,00;0,00;54,00;5,00;2,00
22,00;54981,00;0,00;47,00;7,00;1,00
23,00;62530,00;0,00;50,00;10,00;2,00
24,00;27525,00;1,00;38,00;3,00;1,00
25,00;24395,00;0,00;31,00;5,00;1,00
26,00;56884,00;0,00;47,00;10,00;1,00
27,00;52111,00;0,00;56,00;5,00;1,00
28,00;44183,00;1,00;38,00;5,00;2,00
29,00;24967,00;1,00;55,00;6,00;1,00
30,00;35423,00;1,00;47,00;4,00;1,00
31,00;41188,00;1,00;35,00;2,00;2,00
32,00;27525,00;1,00;35,00;3,00;1,00
33,00;35018,00;0,00;39,00;1,00;1,00
34,00;44183,00;0,00;41,00;2,00;1,00
35,00;35423,00;0,00;44,00;1,00;1,00
36,00;49033,00;0,00;53,00;8,00;1,00
37,00;40741,00;0,00;47,00;2,00;1,00
38,00;49033,00;0,00;42,00;10,00;1,00
39,00;56294,00;1,00;44,00;6,00;3,00
40,00;47180,00;1,00;45,00;5,00;3,00
41,00;46574,00;0,00;56,00;8,00;1,00
42,00;52722,00;0,00;38,00;8,00;3,00
43,00;51237,00;0,00;58,00;2,00;2,00
44,00;53627,00;0,00;52,00;8,00;1,00
45,00;53174,00;0,00;54,00;10,00;1,00
46,00;56294,00;0,00;49,00;10,00;2,00
47,00;49033,00;1,00;53,00;10,00;2,00
48,00;49033,00;0,00;43,00;9,00;1,00
49,00;55549,00;0,00;35,00;8,00;3,00
50,00;51237,00;0,00;56,00;1,00;3,00
51,00;35200,00;1,00;38,00;1,00;2,00
52,00;50175,00;1,00;42,00;5,00;1,00
53,00;24352,00;1,00;35,00;1,00;1,00
54,00;27525,00;1,00;40,00;3,00;1,00
55,00;29606,00;1,00;34,00;4,00;2,00
56,00;24352,00;1,00;35,00;1,00;1,00
57,00;47180,00;1,00;45,00;5,00;2,00
58,00;49033,00;0,00;54,00;10,00;1,00
59,00;53174,00;0,00;47,00;10,00;1,00
60,00;53429,00;1,00;45,00;7,00;2,00
61,00;53627,00;0,00;47,00;10,00;1,00
62,00;26491,00;1,00;46,00;7,00;1,00
63,00;42961,00;0,00;36,00;3,00;2,00
64,00;53174,00;0,00;45,00;5,00;1,00
65,00;37292,00;0,00;46,00;0,00;1,00
66,00;37292,00;0,00;47,00;1,00;1,00
67,00;41188,00;1,00;34,00;3,00;2,00
68,00;57242,00;1,00;45,00;7,00;3,00
69,00;53429,00;1,00;44,00;6,00;3,00
70,00;53174,00;0,00;50,00;10,00;2,00
71,00;44138,00;1,00;38,00;2,00;2,00
